Date : 2021-02-27 19:04:41
Directory : c:\Users\vardy\OneDrive\GardenHouse\Assets
Total : 1232 files,  212424 codes, 39564 comments, 40969 blanks, all 292957 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
| AstarPathfindingProject\Editor                                                                                                                  |         30 |      3,500 |        239 |        863 |      4,602 |
| AstarPathfindingProject\Editor\EditorAssets                                                                                                     |          3 |        210 |         24 |         51 |        285 |
| AstarPathfindingProject\Editor\EditorAssets\Materials                                                                                           |          3 |        210 |         24 |         51 |        285 |
| AstarPathfindingProject\Editor\GraphEditors                                                                                                     |          6 |      1,024 |         50 |        277 |      1,351 |
| AstarPathfindingProject\Editor\Legacy                                                                                                           |          4 |         66 |          0 |          8 |         74 |
| AstarPathfindingProject\Editor\ModifierEditors                                                                                                  |          2 |         65 |          0 |         13 |         78 |
| AstarPathfindingProject\ExampleScenes                                                                                                           |         30 |      2,185 |        663 |        609 |      3,457 |
| AstarPathfindingProject\ExampleScenes\Example11_RVO                                                                                             |          4 |        486 |         89 |        139 |        714 |
| AstarPathfindingProject\ExampleScenes\Example12_Procedural                                                                                      |          2 |        368 |        176 |        103 |        647 |
| AstarPathfindingProject\ExampleScenes\Example13_Moving                                                                                          |          3 |         99 |         38 |         25 |        162 |
| AstarPathfindingProject\ExampleScenes\Example14_TurnBased_Hexagon                                                                               |          4 |        212 |         37 |         64 |        313 |
| AstarPathfindingProject\ExampleScenes\Example16_RVO 2D                                                                                          |          1 |         20 |          1 |          5 |         26 |
| AstarPathfindingProject\ExampleScenes\Example3_Recast_Navmesh1                                                                                  |          1 |         75 |         44 |         30 |        149 |
| AstarPathfindingProject\ExampleScenes\Example8_PathTypes                                                                                        |          2 |        359 |         41 |         86 |        486 |
| AstarPathfindingProject\ExampleScenes\ExampleScripts                                                                                            |         11 |        510 |        237 |        141 |        888 |
| AstarPathfindingProject\ExampleScenes\Materials                                                                                                 |          2 |         56 |          0 |         16 |         72 |
| AstarPathfindingProject\Generators                                                                                                              |         32 |     10,726 |      4,325 |      3,068 |     18,119 |
| AstarPathfindingProject\Generators\NodeClasses                                                                                                  |          4 |      1,156 |        480 |        333 |      1,969 |
| AstarPathfindingProject\Generators\Utilities                                                                                                    |         20 |      5,047 |      1,328 |      1,428 |      7,803 |
| AstarPathfindingProject\Generators\Utilities\Voxels                                                                                             |          8 |      2,362 |        549 |        734 |      3,645 |
| AstarPathfindingProject\Legacy                                                                                                                  |          8 |        413 |        266 |        142 |        821 |
| AstarPathfindingProject\Legacy\Editor                                                                                                           |          4 |          0 |         12 |          8 |         20 |
| AstarPathfindingProject\Modifiers                                                                                                               |          8 |      1,262 |        465 |        366 |      2,093 |
| AstarPathfindingProject\Navmesh                                                                                                                 |          5 |        645 |        343 |        183 |      1,171 |
| AstarPathfindingProject\PackageTools                                                                                                            |          7 |        548 |         72 |        119 |        739 |
| AstarPathfindingProject\PackageTools\Editor                                                                                                     |          4 |        506 |         59 |        105 |        670 |
| AstarPathfindingProject\Pathfinders                                                                                                             |          8 |      1,410 |        762 |        421 |      2,593 |
| AstarPathfindingProject\RVO                                                                                                                     |          5 |        624 |        419 |        167 |      1,210 |
| AstarPathfindingProject\TurnBased                                                                                                               |          2 |        129 |         79 |         32 |        240 |
| AstarPathfindingProject\Utilities                                                                                                               |         13 |      1,504 |        606 |        381 |      2,491 |
| Deer                                                                                                                                            |          3 |      1,101 |        311 |        208 |      1,620 |
| Deer\Scripts                                                                                                                                    |          3 |      1,101 |        311 |        208 |      1,620 |
| Editor                                                                                                                                          |          3 |        739 |        309 |        195 |      1,243 |
| Editor\PathologicalGames                                                                                                                        |          3 |        739 |        309 |        195 |      1,243 |
| Editor\PathologicalGames\Common                                                                                                                 |          1 |        684 |        289 |        172 |      1,145 |
| Editor\PathologicalGames\PoolManager                                                                                                            |          2 |         55 |         20 |         23 |         98 |
| GardenHouse                                                                                                                                     |          3 |        106 |          5 |         17 |        128 |
| GardenHouse\3D SCRIPT                                                                                                                           |          1 |         14 |          0 |          2 |         16 |
| GardenHouse\3D SHADER                                                                                                                           |          2 |         92 |          5 |         15 |        112 |
| IRONHEAD Games                                                                                                                                  |         19 |      1,005 |        425 |        431 |      1,861 |
| IRONHEAD Games\VRKeys                                                                                                                           |         19 |      1,005 |        425 |        431 |      1,861 |
| IRONHEAD Games\VRKeys\Scripts                                                                                                                   |         19 |      1,005 |        425 |        431 |      1,861 |
| IRONHEAD Games\VRKeys\Scripts\Example                                                                                                           |          1 |         78 |         40 |         25 |        143 |
| IRONHEAD Games\VRKeys\Scripts\Layouts                                                                                                           |          2 |         39 |         25 |         31 |         95 |
| Oculus                                                                                                                                          |        516 |     76,271 |     10,654 |     14,420 |    101,345 |
| Oculus\AudioManager                                                                                                                             |         18 |      2,372 |        915 |        413 |      3,700 |
| Oculus\AudioManager\Scenes                                                                                                                      |          1 |         22 |          4 |         11 |         37 |
| Oculus\AudioManager\Scenes\Scripts                                                                                                              |          1 |         22 |          4 |         11 |         37 |
| Oculus\AudioManager\Scripts                                                                                                                     |         17 |      2,350 |        911 |        402 |      3,663 |
| Oculus\AudioManager\Scripts\Audio                                                                                                               |         14 |      2,053 |        867 |        345 |      3,265 |
| Oculus\AudioManager\Scripts\Audio\Editor                                                                                                        |          7 |        665 |        212 |        122 |        999 |
| Oculus\AudioManager\Scripts\Utils                                                                                                               |          3 |        297 |         44 |         57 |        398 |
| Oculus\AudioManager\Scripts\Utils\Editor                                                                                                        |          1 |         57 |          8 |         13 |         78 |
| Oculus\Avatar                                                                                                                                   |         49 |      7,961 |        554 |      1,488 |     10,003 |
| Oculus\Avatar\Resources                                                                                                                         |         14 |      1,709 |        275 |        350 |      2,334 |
| Oculus\Avatar\Resources\Materials                                                                                                               |         14 |      1,709 |        275 |        350 |      2,334 |
| Oculus\Avatar\Resources\Materials\Expressive                                                                                                    |          4 |        587 |        132 |        137 |        856 |
| Oculus\Avatar\Resources\Materials\Version1.5                                                                                                    |          4 |        433 |        114 |        111 |        658 |
| Oculus\Avatar\Samples                                                                                                                           |         10 |      1,197 |         88 |        286 |      1,571 |
| Oculus\Avatar\Samples\AvatarGallery                                                                                                             |          1 |         69 |          0 |         10 |         79 |
| Oculus\Avatar\Samples\AvatarGallery\Scripts                                                                                                     |          1 |         69 |          0 |         10 |         79 |
| Oculus\Avatar\Samples\GripPoses                                                                                                                 |          1 |         27 |          0 |          5 |         32 |
| Oculus\Avatar\Samples\GripPoses\Scripts                                                                                                         |          1 |         27 |          0 |          5 |         32 |
| Oculus\Avatar\Samples\LocalAvatar                                                                                                               |          1 |         44 |          1 |          4 |         49 |
| Oculus\Avatar\Samples\LocalAvatar\Scripts                                                                                                       |          1 |         44 |          1 |          4 |         49 |
| Oculus\Avatar\Samples\RemoteLoopback                                                                                                            |          1 |        127 |          0 |         29 |        156 |
| Oculus\Avatar\Samples\RemoteLoopback\Scripts                                                                                                    |          1 |        127 |          0 |         29 |        156 |
| Oculus\Avatar\Samples\SocialStarter                                                                                                             |          6 |        930 |         87 |        238 |      1,255 |
| Oculus\Avatar\Samples\SocialStarter\Assets                                                                                                      |          6 |        930 |         87 |        238 |      1,255 |
| Oculus\Avatar\Samples\SocialStarter\Assets\Scripts                                                                                              |          6 |        930 |         87 |        238 |      1,255 |
| Oculus\Avatar\Scripts                                                                                                                           |         25 |      5,055 |        191 |        852 |      6,098 |
| Oculus\LipSync                                                                                                                                  |         18 |      1,982 |        864 |        385 |      3,231 |
| Oculus\LipSync\Editor                                                                                                                           |          4 |        289 |         98 |         45 |        432 |
| Oculus\LipSync\Scenes                                                                                                                           |          3 |        231 |         67 |         34 |        332 |
| Oculus\LipSync\Scenes\Scripts                                                                                                                   |          3 |        231 |         67 |         34 |        332 |
| Oculus\LipSync\Scripts                                                                                                                          |         11 |      1,462 |        699 |        306 |      2,467 |
| Oculus\LipSync\Scripts\Helpers                                                                                                                  |          3 |        231 |        166 |         60 |        457 |
| Oculus\Platform                                                                                                                                 |        190 |     15,942 |      1,682 |      4,047 |     21,671 |
| Oculus\Platform\Editor                                                                                                                          |          4 |        430 |         21 |         71 |        522 |
| Oculus\Platform\Samples                                                                                                                         |         39 |      5,237 |        586 |      1,078 |      6,901 |
| Oculus\Platform\Samples\EntitlementCheck                                                                                                        |          1 |         77 |         15 |          9 |        101 |
| Oculus\Platform\Samples\NetChat                                                                                                                 |          1 |        676 |         52 |        109 |        837 |
| Oculus\Platform\Samples\RichPresenceSample                                                                                                      |          1 |        279 |         80 |         52 |        411 |
| Oculus\Platform\Samples\RichPresenceSample\Scripts                                                                                              |          1 |        279 |         80 |         52 |        411 |
| Oculus\Platform\Samples\SimplePlatformSample                                                                                                    |          1 |        574 |          3 |         65 |        642 |
| Oculus\Platform\Samples\VrBoardGame                                                                                                             |          9 |      1,092 |        127 |        225 |      1,444 |
| Oculus\Platform\Samples\VrBoardGame\Scripts                                                                                                     |          8 |      1,039 |        127 |        213 |      1,379 |
| Oculus\Platform\Samples\VrHoops                                                                                                                 |         20 |      1,810 |        215 |        423 |      2,448 |
| Oculus\Platform\Samples\VrHoops\Scripts                                                                                                         |         19 |      1,754 |        215 |        407 |      2,376 |
| Oculus\Platform\Samples\VrVoiceChat                                                                                                             |          6 |        729 |         94 |        195 |      1,018 |
| Oculus\Platform\Samples\VrVoiceChat\Scripts                                                                                                     |          5 |        699 |         94 |        185 |        978 |
| Oculus\Platform\Scripts                                                                                                                         |        147 |     10,275 |      1,075 |      2,898 |     14,248 |
| Oculus\Platform\Scripts\Models                                                                                                                  |         70 |      1,905 |         86 |        471 |      2,462 |
| Oculus\SampleFramework                                                                                                                          |        108 |      9,288 |      2,281 |      1,761 |     13,330 |
| Oculus\SampleFramework\Core                                                                                                                     |         70 |      6,137 |      1,745 |      1,180 |      9,062 |
| Oculus\SampleFramework\Core\CustomHands                                                                                                         |          6 |        345 |         35 |         69 |        449 |
| Oculus\SampleFramework\Core\CustomHands\Materials                                                                                               |          2 |         64 |          0 |         11 |         75 |
| Oculus\SampleFramework\Core\CustomHands\Scripts                                                                                                 |          2 |        217 |         35 |         47 |        299 |
| Oculus\SampleFramework\Core\CustomHands\Shaders                                                                                                 |          2 |         64 |          0 |         11 |         75 |
| Oculus\SampleFramework\Core\DebugUI                                                                                                             |          3 |        453 |         39 |         55 |        547 |
| Oculus\SampleFramework\Core\DebugUI\Scripts                                                                                                     |          3 |        453 |         39 |         55 |        547 |
| Oculus\SampleFramework\Core\DistanceGrab                                                                                                        |          6 |        505 |        127 |         88 |        720 |
| Oculus\SampleFramework\Core\DistanceGrab\Scripts                                                                                                |          6 |        505 |        127 |         88 |        720 |
| Oculus\SampleFramework\Core\HandsInteraction                                                                                                    |         17 |      1,861 |        396 |        326 |      2,583 |
| Oculus\SampleFramework\Core\HandsInteraction\Scripts                                                                                            |         16 |      1,780 |        377 |        307 |      2,464 |
| Oculus\SampleFramework\Core\HandsInteraction\Scripts\Tools                                                                                      |          7 |        785 |        190 |        153 |      1,128 |
| Oculus\SampleFramework\Core\HandsInteraction\Shaders                                                                                            |          1 |         81 |         19 |         19 |        119 |
| Oculus\SampleFramework\Core\Locomotion                                                                                                          |         28 |      1,778 |      1,052 |        434 |      3,264 |
| Oculus\SampleFramework\Core\Locomotion\Materials                                                                                                |          1 |         60 |         12 |         14 |         86 |
| Oculus\SampleFramework\Core\Locomotion\Scripts                                                                                                  |         27 |      1,718 |      1,040 |        420 |      3,178 |
| Oculus\SampleFramework\Core\Locomotion\Scripts\Editor                                                                                           |          1 |         47 |          8 |          7 |         62 |
| Oculus\SampleFramework\Core\TouchControllers                                                                                                    |          1 |         39 |         11 |          9 |         59 |
| Oculus\SampleFramework\Core\Video                                                                                                               |          9 |      1,156 |         85 |        199 |      1,440 |
| Oculus\SampleFramework\Core\Video\Editor                                                                                                        |          2 |        220 |         25 |         53 |        298 |
| Oculus\SampleFramework\Core\Video\Plugins                                                                                                       |          1 |        223 |          5 |         40 |        268 |
| Oculus\SampleFramework\Core\Video\Plugins\Android                                                                                               |          1 |        223 |          5 |         40 |        268 |
| Oculus\SampleFramework\Core\Video\Scripts                                                                                                       |          5 |        657 |         54 |         94 |        805 |
| Oculus\SampleFramework\Core\Video\Shaders                                                                                                       |          1 |         56 |          1 |         12 |         69 |
| Oculus\SampleFramework\Editor                                                                                                                   |          2 |         64 |         15 |          9 |         88 |
| Oculus\SampleFramework\Usage                                                                                                                    |         36 |      3,087 |        521 |        572 |      4,180 |
| Oculus\SampleFramework\Usage\DebugUI                                                                                                            |          1 |         57 |          1 |          8 |         66 |
| Oculus\SampleFramework\Usage\DistanceGrab                                                                                                       |          3 |        173 |         27 |         34 |        234 |
| Oculus\SampleFramework\Usage\DistanceGrab\Materials                                                                                             |          2 |        114 |         14 |         24 |        152 |
| Oculus\SampleFramework\Usage\DistanceGrab\Scripts                                                                                               |          1 |         59 |         13 |         10 |         82 |
| Oculus\SampleFramework\Usage\HandsTrainExample                                                                                                  |         21 |      1,640 |        251 |        286 |      2,177 |
| Oculus\SampleFramework\Usage\HandsTrainExample\Scripts                                                                                          |         15 |      1,293 |        190 |        236 |      1,719 |
| Oculus\SampleFramework\Usage\HandsTrainExample\Scripts\Utils                                                                                    |          1 |         19 |         10 |          5 |         34 |
| Oculus\SampleFramework\Usage\HandsTrainExample\Shaders                                                                                          |          5 |        250 |         60 |         48 |        358 |
| Oculus\SampleFramework\Usage\HandsTrainExample\Textures                                                                                         |          1 |         97 |          1 |          2 |        100 |
| Oculus\SampleFramework\Usage\Locomotion                                                                                                         |          3 |        397 |        101 |         79 |        577 |
| Oculus\SampleFramework\Usage\Locomotion\Scripts                                                                                                 |          2 |        352 |         87 |         67 |        506 |
| Oculus\SampleFramework\Usage\Locomotion\Shaders                                                                                                 |          1 |         45 |         14 |         12 |         71 |
| Oculus\SampleFramework\Usage\OVROverlay                                                                                                         |          1 |        235 |         92 |         48 |        375 |
| Oculus\SampleFramework\Usage\OVROverlayCanvas                                                                                                   |          5 |        549 |         48 |        109 |        706 |
| Oculus\SampleFramework\Usage\OVROverlayCanvas\Editor                                                                                            |          1 |        114 |         16 |         18 |        148 |
| Oculus\SampleFramework\Usage\OVROverlayCanvas\Scripts                                                                                           |          1 |        238 |         26 |         50 |        314 |
| Oculus\SampleFramework\Usage\OVROverlayCanvas\Shaders                                                                                           |          3 |        197 |          6 |         41 |        244 |
| Oculus\SampleFramework\Usage\OVROverlay\Scripts                                                                                                 |          1 |        235 |         92 |         48 |        375 |
| Oculus\SampleFramework\Usage\StartScene                                                                                                         |          1 |         29 |          1 |          6 |         36 |
| Oculus\SampleFramework\Usage\StartScene\Scripts                                                                                                 |          1 |         29 |          1 |          6 |         36 |
| Oculus\SampleFramework\Usage\Stereo180Video                                                                                                     |          1 |          7 |          0 |          2 |          9 |
| Oculus\Spatializer                                                                                                                              |         19 |      3,105 |        651 |        813 |      4,569 |
| Oculus\Spatializer\editor                                                                                                                       |          7 |        906 |        164 |        325 |      1,395 |
| Oculus\Spatializer\scenes                                                                                                                       |          1 |         39 |         12 |         13 |         64 |
| Oculus\Spatializer\scenes\Standard Assets                                                                                                       |          1 |         39 |         12 |         13 |         64 |
| Oculus\Spatializer\scenes\Standard Assets\Character Controllers                                                                                 |          1 |         39 |         12 |         13 |         64 |
| Oculus\Spatializer\scenes\Standard Assets\Character Controllers\Sources                                                                         |          1 |         39 |         12 |         13 |         64 |
| Oculus\Spatializer\scenes\Standard Assets\Character Controllers\Sources\Scripts                                                                 |          1 |         39 |         12 |         13 |         64 |
| Oculus\Spatializer\scripts                                                                                                                      |         11 |      2,160 |        475 |        475 |      3,110 |
| Oculus\Spatializer\scripts\helpers                                                                                                              |          1 |         82 |         62 |         21 |        165 |
| Oculus\VR                                                                                                                                       |        114 |     35,621 |      3,707 |      5,513 |     44,841 |
| Oculus\VR\Editor                                                                                                                                |         24 |      6,881 |        634 |      1,055 |      8,570 |
| Oculus\VR\Resources                                                                                                                             |         10 |        541 |         22 |        101 |        664 |
| Oculus\VR\Scripts                                                                                                                               |         74 |     21,044 |      2,859 |      3,736 |     27,639 |
| Oculus\VR\Scripts\Composition                                                                                                                   |          6 |      1,002 |         70 |        167 |      1,239 |
| Oculus\VR\Scripts\Editor                                                                                                                        |          7 |      1,164 |         58 |        197 |      1,419 |
| Oculus\VR\Scripts\Util                                                                                                                          |         39 |      5,941 |      1,360 |      1,283 |      8,584 |
| Oculus\VR\Shaders                                                                                                                               |          3 |        169 |          4 |         38 |        211 |
| Oculus\VR\ThirdParty                                                                                                                            |          3 |      6,986 |        188 |        583 |      7,757 |
| Plugins                                                                                                                                         |        264 |     52,159 |      9,036 |      7,945 |     69,140 |
| Plugins\GitHub                                                                                                                                  |          2 |         97 |          4 |         13 |        114 |
| Plugins\GitHub\Editor                                                                                                                           |          2 |         97 |          4 |         13 |        114 |
| Plugins\PathologicalGames                                                                                                                       |          3 |      1,490 |        924 |        485 |      2,899 |
| Plugins\PathologicalGames\PoolManager                                                                                                           |          3 |      1,490 |        924 |        485 |      2,899 |
| Plugins\RootMotion                                                                                                                              |        242 |     22,024 |      7,909 |      6,913 |     36,846 |
| Plugins\RootMotion\Baker                                                                                                                        |          6 |      1,146 |        120 |        287 |      1,553 |
| Plugins\RootMotion\Baker\Scripts                                                                                                                |          5 |      1,103 |        119 |        277 |      1,499 |
| Plugins\RootMotion\Baker\Scripts\Helpers                                                                                                        |          2 |        495 |         43 |        132 |        670 |
| Plugins\RootMotion\Baker\_DEMOS                                                                                                                 |          1 |         43 |          1 |         10 |         54 |
| Plugins\RootMotion\Baker\_DEMOS\Scripts                                                                                                         |          1 |         43 |          1 |         10 |         54 |
| Plugins\RootMotion\Editor                                                                                                                       |         52 |      3,463 |        518 |      1,075 |      5,056 |
| Plugins\RootMotion\Editor\Baker                                                                                                                 |          5 |        278 |         11 |         55 |        344 |
| Plugins\RootMotion\Editor\Baker\Helpers                                                                                                         |          2 |         47 |          6 |          8 |         61 |
| Plugins\RootMotion\Editor\FinalIK                                                                                                               |         40 |      2,792 |        467 |        898 |      4,157 |
| Plugins\RootMotion\Editor\FinalIK\_DEMOS                                                                                                        |          1 |         23 |          3 |          9 |         35 |
| Plugins\RootMotion\Editor\Shared Demo Scripts                                                                                                   |          1 |         17 |          1 |          5 |         23 |
| Plugins\RootMotion\Editor\Shared Scripts                                                                                                        |          6 |        376 |         39 |        117 |        532 |
| Plugins\RootMotion\FinalIK                                                                                                                      |        153 |     14,683 |      6,532 |      4,768 |     25,983 |
| Plugins\RootMotion\FinalIK\BipedIK                                                                                                              |          2 |        171 |        188 |         48 |        407 |
| Plugins\RootMotion\FinalIK\Constraints                                                                                                          |          6 |        159 |        100 |         68 |        327 |
| Plugins\RootMotion\FinalIK\Finger Rig                                                                                                           |          1 |        249 |         72 |         67 |        388 |
| Plugins\RootMotion\FinalIK\Grounder                                                                                                             |          9 |      1,221 |        469 |        416 |      2,106 |
| Plugins\RootMotion\FinalIK\IK Components                                                                                                        |         13 |        604 |        186 |        183 |        973 |
| Plugins\RootMotion\FinalIK\IK Solvers                                                                                                           |         33 |      5,981 |      2,001 |      1,913 |      9,895 |
| Plugins\RootMotion\FinalIK\InteractionSystem                                                                                                    |          6 |      1,425 |        529 |        422 |      2,376 |
| Plugins\RootMotion\FinalIK\Posers                                                                                                               |          3 |        162 |         50 |         55 |        267 |
| Plugins\RootMotion\FinalIK\Ragdoll Utility                                                                                                      |          1 |        261 |         66 |         77 |        404 |
| Plugins\RootMotion\FinalIK\Rotation Limits                                                                                                      |          5 |        423 |        211 |        161 |        795 |
| Plugins\RootMotion\FinalIK\Tools                                                                                                                |         20 |      1,838 |        459 |        558 |      2,855 |
| Plugins\RootMotion\FinalIK\_DEMOS                                                                                                               |         53 |      2,189 |        530 |        781 |      3,500 |
| Plugins\RootMotion\FinalIK\_DEMOS\Aim IK                                                                                                        |          5 |        144 |         40 |         57 |        241 |
| Plugins\RootMotion\FinalIK\_DEMOS\Aim IK\Scripts                                                                                                |          5 |        144 |         40 |         57 |        241 |
| Plugins\RootMotion\FinalIK\_DEMOS\Biped IK                                                                                                      |          1 |         59 |          9 |         17 |         85 |
