"filename", "language", "JSON", "C#", "XML", "ShaderLab", "HLSL", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\BinaryHeap.cs", "C#", 0, 191, 0, 0, 0, 0, 0, 82, 52, 325
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\Draw.cs", "C#", 0, 71, 0, 0, 0, 0, 0, 1, 20, 92
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\EditorResourceHelper.cs", "C#", 0, 73, 0, 0, 0, 0, 0, 10, 15, 98
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\GraphEditorBase.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 2, 2, 11
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\GraphModifier.cs", "C#", 0, 119, 0, 0, 0, 0, 0, 57, 29, 205
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\GraphUpdateProcessor.cs", "C#", 0, 229, 0, 0, 0, 0, 0, 65, 61, 355
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\GraphUtilities.cs", "C#", 0, 146, 0, 0, 0, 0, 0, 100, 26, 272
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\HierarchicalGraph.cs", "C#", 0, 222, 0, 0, 0, 0, 0, 77, 48, 347
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\Int3.cs", "C#", 0, 220, 0, 0, 0, 0, 0, 32, 63, 315
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\ListPool.cs", "C#", 0, 115, 0, 0, 0, 0, 0, 74, 23, 212
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\MovementUtilities.cs", "C#", 0, 71, 0, 0, 0, 0, 0, 77, 27, 175
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\NodeLink.cs", "C#", 0, 116, 0, 0, 0, 0, 0, 16, 26, 158
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\NodeLink2.cs", "C#", 0, 220, 0, 0, 0, 0, 0, 32, 57, 309
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\NodeLink3.cs", "C#", 0, 228, 0, 0, 0, 0, 0, 18, 68, 314
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\ObjectPool.cs", "C#", 0, 65, 0, 0, 0, 0, 0, 56, 11, 132
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\PathInterpolator.cs", "C#", 0, 144, 0, 0, 0, 0, 0, 27, 36, 207
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\PathPool.cs", "C#", 0, 65, 0, 0, 0, 0, 0, 11, 13, 89
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\PathProcessor.cs", "C#", 0, 337, 0, 0, 0, 0, 0, 137, 110, 584
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\PathReturnQueue.cs", "C#", 0, 42, 0, 0, 0, 0, 0, 20, 12, 74
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\StackPool.cs", "C#", 0, 46, 0, 0, 0, 0, 0, 40, 13, 99
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\ThreadControlQueue.cs", "C#", 0, 179, 0, 0, 0, 0, 0, 61, 44, 284
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\WindowsStoreCompatibility.cs", "C#", 0, 111, 0, 0, 0, 0, 0, 15, 23, 149
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\WorkItemProcessor.cs", "C#", 0, 166, 0, 0, 0, 0, 0, 129, 43, 338
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Nodes\GraphNode.cs", "C#", 0, 330, 0, 0, 0, 0, 0, 385, 97, 812
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Path.cs", "C#", 0, 381, 0, 0, 0, 0, 0, 361, 111, 853
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\PathHandler.cs", "C#", 0, 100, 0, 0, 0, 0, 0, 76, 34, 210
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\RVO\RVOAgent.cs", "C#", 0, 552, 0, 0, 0, 0, 0, 236, 185, 973
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\RVO\RVOCoreObstacle.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 9, 7, 28
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\RVO\RVOCoreSimulator.cs", "C#", 0, 408, 0, 0, 0, 0, 0, 355, 125, 888
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\RVO\RVOLine.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 4, 2, 13
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\RVO\RVOQuadtree.cs", "C#", 0, 179, 0, 0, 0, 0, 0, 32, 30, 241
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Serialization\JsonConverters.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Serialization\JsonSerializer.cs", "C#", 0, 581, 0, 0, 0, 0, 0, 154, 175, 910
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Serialization\SimpleJsonReplacement.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Serialization\SimpleZipReplacement.cs", "C#", 0, 62, 0, 0, 0, 0, 0, 0, 18, 80
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Serialization\TinyJson.cs", "C#", 0, 365, 0, 0, 0, 0, 0, 30, 53, 448
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\astarclasses.cs", "C#", 0, 486, 0, 0, 0, 0, 0, 517, 140, 1143
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Documentation\documentation.html", "HTML", 0, 0, 0, 0, 0, 0, 15380, 0, 1665, 17045
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Documentation\index.md", "Markdown", 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\AIBaseEditor.cs", "C#", 0, 107, 0, 0, 0, 0, 0, 3, 23, 133
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\AILerpEditor.cs", "C#", 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\AnimationLinkEditor.cs", "C#", 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\AstarPathEditor.cs", "C#", 0, 1081, 0, 0, 0, 0, 0, 107, 304, 1492
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\AstarUpdateChecker.cs", "C#", 0, 228, 0, 0, 0, 0, 0, 36, 44, 308
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\AstarUpdateWindow.cs", "C#", 0, 81, 0, 0, 0, 0, 0, 1, 22, 104
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\CustomGraphEditorAttribute.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 4, 4, 20
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\EditorAssets\Materials\Navmesh.cginc", "HLSL", 0, 0, 0, 0, 51, 0, 0, 19, 8, 78
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\EditorAssets\Materials\Navmesh.shader", "ShaderLab", 0, 0, 0, 89, 0, 0, 0, 2, 28, 119
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\EditorAssets\Materials\NavmeshOutline.shader", "ShaderLab", 0, 0, 0, 70, 0, 0, 0, 3, 15, 88
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\GraphEditors\GraphEditor.cs", "C#", 0, 105, 0, 0, 0, 0, 0, 14, 25, 144
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\GraphEditors\GridGeneratorEditor.cs", "C#", 0, 604, 0, 0, 0, 0, 0, 20, 150, 774
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\GraphEditors\LayerGridGraphEditor.cs", "C#", 0, 52, 0, 0, 0, 0, 0, 4, 19, 75
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\GraphEditors\NavMeshGeneratorEditor.cs", "C#", 0, 28, 0, 0, 0, 0, 0, 0, 10, 38
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\GraphEditors\PointGeneratorEditor.cs", "C#", 0, 42, 0, 0, 0, 0, 0, 0, 15, 57
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\GraphEditors\RecastGraphEditor.cs", "C#", 0, 193, 0, 0, 0, 0, 0, 12, 58, 263
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\GraphUpdateSceneEditor.cs", "C#", 0, 257, 0, 0, 0, 0, 0, 11, 51, 319
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\Legacy\LegacyAIPathEditor2.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\Legacy\LegacyEditorHelper2.cs", "C#", 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\Legacy\LegacyRVOControllerEditor2.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\Legacy\LegacyRichAIEditor2.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\ModifierEditors\RaycastModifierEditor.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\ModifierEditors\SmoothModifierEditor.cs", "C#", 0, 39, 0, 0, 0, 0, 0, 0, 7, 46
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\NavmeshCutEditor.cs", "C#", 0, 50, 0, 0, 0, 0, 0, 0, 10, 60
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\RVOControllerEditor.cs", "C#", 0, 56, 0, 0, 0, 0, 0, 0, 9, 65
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\RVONavmeshEditor.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\RVOSimulatorEditor.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\RVOSquareObstacleEditor.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\RecastMeshObjEditor.cs", "C#", 0, 54, 0, 0, 0, 0, 0, 0, 11, 65
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Editor\SeekerEditor.cs", "C#", 0, 115, 0, 0, 0, 0, 0, 3, 21, 139
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\Example11_RVO\GroupController.cs", "C#", 0, 100, 0, 0, 0, 0, 0, 10, 30, 140
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\Example11_RVO\LightweightRVO.cs", "C#", 0, 219, 0, 0, 0, 0, 0, 43, 57, 319
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\Example11_RVO\RVOAgentPlacer.cs", "C#", 0, 36, 0, 0, 0, 0, 0, 6, 16, 58
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\Example11_RVO\RVOExampleAgent.cs", "C#", 0, 131, 0, 0, 0, 0, 0, 30, 36, 197
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\Example12_Procedural\ProceduralGridMover.cs", "C#", 0, 193, 0, 0, 0, 0, 0, 124, 48, 365
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\Example12_Procedural\ProceduralWorld.cs", "C#", 0, 175, 0, 0, 0, 0, 0, 52, 55, 282
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\Example13_Moving\BezierMover.cs", "C#", 0, 53, 0, 0, 0, 0, 0, 6, 15, 74
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\Example13_Moving\LocalSpaceGraph.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 2, 4, 26
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\Example13_Moving\LocalSpaceRichAI.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 30, 6, 62
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\Example14_TurnBased_Hexagon\Astar3DButton.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 3, 4, 19
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\Example14_TurnBased_Hexagon\HexagonTrigger.cs", "C#", 0, 31, 0, 0, 0, 0, 0, 2, 6, 39
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\Example14_TurnBased_Hexagon\TurnBasedDoor.cs", "C#", 0, 50, 0, 0, 0, 0, 0, 9, 14, 73
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\Example14_TurnBased_Hexagon\TurnBasedManager.cs", "C#", 0, 119, 0, 0, 0, 0, 0, 23, 40, 182
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\Example16_RVO 2D\ExampleMover.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 1, 5, 26
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\Example3_Recast_Navmesh1\MecanimBridge.cs", "C#", 0, 75, 0, 0, 0, 0, 0, 44, 30, 149
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\Example8_PathTypes\PathTypesDemo.cs", "C#", 0, 264, 0, 0, 0, 0, 0, 36, 75, 375
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\Example8_PathTypes\SquareShader.shader", "ShaderLab", 0, 0, 0, 95, 0, 0, 0, 5, 11, 111
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\AstarSmoothFollow2.cs", "C#", 0, 30, 0, 0, 0, 0, 0, 4, 5, 39
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\DoorController.cs", "C#", 0, 38, 0, 0, 0, 0, 0, 9, 13, 60
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\DynamicGridObstacle.cs", "C#", 0, 110, 0, 0, 0, 0, 0, 61, 33, 204
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\ManualRVOAgent.cs", "C#", 0, 21, 0, 0, 0, 0, 0, 8, 8, 37
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\MineBotAI.cs", "C#", 0, 32, 0, 0, 0, 0, 0, 14, 6, 52
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\MineBotAnimation.cs", "C#", 0, 32, 0, 0, 0, 0, 0, 31, 11, 74
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\NavmeshClamp.cs", "C#", 0, 39, 0, 0, 0, 0, 0, 10, 7, 56
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\ObjectPlacer.cs", "C#", 0, 52, 0, 0, 0, 0, 0, 14, 13, 79
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\RecastTileUpdate.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 17, 6, 49
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\RecastTileUpdateHandler.cs", "C#", 0, 79, 0, 0, 0, 0, 0, 54, 27, 160
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\TargetMover.cs", "C#", 0, 51, 0, 0, 0, 0, 0, 15, 12, 78
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\Materials\DiffuseAlwaysVisible.shader", "ShaderLab", 0, 0, 0, 30, 0, 0, 0, 0, 16, 46
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\Materials\Projector Light.shader", "ShaderLab", 0, 0, 0, 26, 0, 0, 0, 0, 0, 26
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Base.cs", "C#", 0, 288, 0, 0, 0, 0, 0, 305, 93, 686
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\GridGenerator.cs", "C#", 0, 1365, 0, 0, 0, 0, 0, 917, 406, 2688
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\LayerGridGraphGenerator.cs", "C#", 0, 868, 0, 0, 0, 0, 0, 202, 231, 1301
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\NavMeshGenerator.cs", "C#", 0, 161, 0, 0, 0, 0, 0, 60, 52, 273
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\NavmeshBase.cs", "C#", 0, 935, 0, 0, 0, 0, 0, 435, 262, 1632
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\NodeClasses\GridNode.cs", "C#", 0, 556, 0, 0, 0, 0, 0, 181, 144, 881
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\NodeClasses\GridNodeBase.cs", "C#", 0, 207, 0, 0, 0, 0, 0, 98, 58, 363
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\NodeClasses\PointNode.cs", "C#", 0, 143, 0, 0, 0, 0, 0, 81, 40, 264
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\NodeClasses\TriangleMeshNode.cs", "C#", 0, 250, 0, 0, 0, 0, 0, 120, 91, 461
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\PointGenerator.cs", "C#", 0, 435, 0, 0, 0, 0, 0, 223, 109, 767
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\QuadtreeGraph.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\RecastGenerator.cs", "C#", 0, 471, 0, 0, 0, 0, 0, 372, 152, 995
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\BBTree.cs", "C#", 0, 359, 0, 0, 0, 0, 0, 103, 86, 548
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\EuclideanEmbedding.cs", "C#", 0, 279, 0, 0, 0, 0, 0, 93, 69, 441
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\GraphTransform.cs", "C#", 0, 141, 0, 0, 0, 0, 0, 43, 32, 216
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\GridLookup.cs", "C#", 0, 132, 0, 0, 0, 0, 0, 35, 26, 193
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\NavMeshRenderer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\NavmeshTile.cs", "C#", 0, 38, 0, 0, 0, 0, 0, 18, 21, 77
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\ObjImporter.cs", "C#", 0, 212, 0, 0, 0, 0, 0, 15, 17, 244
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\PointKDTree.cs", "C#", 0, 212, 0, 0, 0, 0, 0, 53, 45, 310
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\RecastBBTree.cs", "C#", 0, 125, 0, 0, 0, 0, 0, 26, 33, 184
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\RecastMeshGatherer.cs", "C#", 0, 384, 0, 0, 0, 0, 0, 75, 112, 571
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\RecastMeshObj.cs", "C#", 0, 89, 0, 0, 0, 0, 0, 57, 32, 178
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\TileHandler.cs", "C#", 0, 714, 0, 0, 0, 0, 0, 258, 219, 1191
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\Voxels\DebugUtility.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\Voxels\VoxelClasses.cs", "C#", 0, 354, 0, 0, 0, 0, 0, 101, 99, 554
